Age[ka];Depth[mm];d18O[permil ‰]
25.36;223.2;-7.2
25.45;223.6;-6.89
25.54;224,00;-6.93
25.63;224.4;-6.67
25.72;224.8;-6.44
25.81;225.2;-6.35
25.9;225.6;-6.55
25.99;226,00;-6.47
26.17;226.8;-6.42
26.25;227.2;-6.7
26.34;227.6;-6.68
26.43;228,00;-6.51
26.52;228.4;-6.82
26.61;228.8;-7.11
26.7;229.2;-6.77
26.79;229.6;-6.72
26.88;230,00;-6.32
26.97;230.4;-6.65
27.06;230.8;-6.54
27.15;231.2;-6.54
27.24;231.6;-5.99
27.33;232,00;-5.78
27.42;232.4;-6.11
27.51;232.8;-6.32
27.6;233.2;-7.02
27.69;233.6;-7.32
27.78;234,00;-7.36
27.87;234.4;-7.57
27.96;234.8;-6.91
28.05;235.2;-7.01
28.14;235.6;-6.98
28.23;236,00;-6.78
28.32;236.4;-7.25
28.41;236.8;-7.3
28.5;237.2;-7.67
28.59;237.6;-6.83
28.68;238,00;-6.36
28.77;238.4;-5.84
28.86;238.8;-6,00
28.95;239.2;-6.3
29.04;239.6;-6.49
29.07;239.74;-6.4
29.1;239.88;-6.98
29.13;240.02;-6.99
29.16;240.16;-6.97
29.2;240.3;-7.23
29.23;240.44;-7.08
29.26;240.58;-6.94
29.29;240.72;-7.02
29.32;240.86;-7.15
29.35;241.01;-7.31
29.39;241.15;-7.12
29.42;241.29;-7.12
29.44;241.43;-6.96
29.47;241.57;-6.81
29.5;241.71;-6.9
29.53;241.85;-6.86
29.55;241.99;-6.9
29.58;242.13;-6.66
29.61;242.27;-6.74
29.64;242.41;-6.87
29.66;242.55;-6.75
29.69;242.69;-6.87
29.72;242.83;-6.85
29.75;242.97;-6.78
29.77;243.11;-6.68
29.8;243.25;-6.79
29.83;243.39;-6.92
29.86;243.54;-6.7
29.89;243.68;-6.54
29.91;243.82;-6.56
29.94;243.96;-6.55
29.97;244.1;-6.81
30,00;244.24;-6.78
30.02;244.38;-6.41
30.05;244.52;-6.39
30.08;244.66;-6.7
30.11;244.8;-6.5
30.13;244.94;-6.52
30.16;245.08;-6.9
30.19;245.22;-6.71
30.22;245.36;-6.46
30.24;245.5;-6.38
30.27;245.64;-6.19
30.3;245.78;-6.16
30.33;245.92;-6.74
30.35;246.06;-7.02
30.38;246.2;-6.55
30.41;246.34;-6.24
30.44;246.48;-6.5
30.46;246.62;-6.42
30.49;246.76;-6.81
30.52;246.91;-7.22
30.55;247.05;-7.54
30.57;247.19;-7.43
30.6;247.33;-7.8
30.63;247.47;-7.98
30.66;247.61;-7.77
30.68;247.75;-7.64
30.71;247.89;-6.74
30.74;248.03;-6.65
30.76;248.13;-6.31
30.78;248.23;-6.31
30.82;248.43;-6.37
30.84;248.53;-6.31
30.86;248.63;-6.23
30.88;248.73;-5.95
30.9;248.83;-5.9
30.92;248.93;-6.07
30.94;249.03;-6.39
30.96;249.13;-6.46
30.97;249.23;-6.45
30.99;249.33;-6.56
31.01;249.43;-6.35
31.03;249.53;-6.5
31.05;249.63;-6.55
31.07;249.73;-6.78
31.09;249.83;-6.96
31.17;250.03;-7.18
31.22;250.13;-6.92
31.26;250.23;-6.99
31.3;250.33;-7.11
31.34;250.43;-7.08
31.38;250.53;-7.41
31.42;250.63;-7.22
31.46;250.73;-7.18
31.5;250.83;-7.05
31.54;250.93;-7.23
31.58;251.03;-7.4
31.62;251.13;-7.54
31.66;251.23;-7.7
31.71;251.33;-7.43
31.75;251.43;-7.31
31.79;251.53;-7.26
31.83;251.63;-7.43
31.87;251.73;-7.67
31.91;251.83;-7.47
31.95;251.93;-7.65
31.99;252.03;-7.38
32.03;252.13;-7.45
32.07;252.23;-7.61
32.11;252.33;-7.48
32.16;252.43;-7.56
32.2;252.53;-7.79
32.24;252.63;-7.44
32.28;252.73;-7.52
32.32;252.83;-7.4
32.36;252.93;-7.4
32.4;253.03;-7.48
32.44;253.13;-7.41
32.48;253.23;-7.52
32.52;253.33;-7.51
32.56;253.43;-7.43
32.6;253.53;-7.28
32.65;253.63;-7.28
32.69;253.73;-7.26
32.73;253.83;-7.21
32.77;253.93;-7.39
32.81;254.03;-7.43
32.85;254.13;-6.9
32.89;254.23;-7.66
32.93;254.33;-7.22
32.97;254.43;-7.36
33.01;254.53;-7.39
33.05;254.63;-7.23
33.1;254.73;-7.2
33.14;254.83;-7.21
33.18;254.93;-7.62
33.22;255.03;-7.9
33.26;255.13;-8.03
33.3;255.23;-8.11
33.34;255.33;-8.53
33.38;255.43;-7.59
33.42;255.53;-7.73
33.46;255.63;-7.91
33.5;255.73;-7.61
